Country,Temperature
BurkinaFaso,28.25
Mali,28.25
Kiribati,28.2
Djibouti,28
Tuvalu,28
Senegal,27.85
Mauritania,27.65
Maldives,27.65
Palau,27.6
Benin,27.55
Gambia,27.5
MarshallIslands,27.4
Ghana,27.2
Bahrain,27.15
Niger,27.15
Qatar,27.15
Seychelles,27.15
Togo,27.15
Somalia,27.05
UnitedArabEmirates,27
SriLanka,26.95
Sudan,26.9
Brunei,26.85
Cambodia,26.8
Nigeria,26.8
SaintVincentandtheGrenadines,26.8
Guinea-Bissau,26.75
Samoa,26.7
Grenada,26.65
Chad,26.55
Singapore,26.45
IvoryCoast,26.35
Thailand,26.3
SierraLeone,26.05
AntiguaandBarbuda,26
Barbados,26
Guyana,26
Indonesia,25.85
FederatedStatesofMicronesia,25.85
Philippines,25.85
TrinidadandTobago,25.75
Guinea,25.7
Suriname,25.7
SolomonIslands,25.65
Oman,25.6
Comoros,25.55
Eritrea,25.5
SaintLucia,25.5
Malaysia,25.4
Panama,25.4
Belize,25.3
Kuwait,25.35
Venezuela,25.35
Liberia,25.3
Timor-Leste,25.25
PapuaNewGuinea,25.25
Tonga,25.25
Cuba,25.2
Gabon,25.05
Bangladesh,25
Brazil,24.95
Jamaica,24.95
CentralAfricanRepublic,24.9
Haiti,24.9
Vietnam,24.45
Nicaragua,24.9
Bahamas,24.85
CostaRica,24.8
Kenya,24.75
SaudiArabia,24.65
Cameroon,24.6
RepublicoftheCongo,24.55
DominicanRepublic,24.55
EquatorialGuinea,24.55
Colombia,24.5
SaintKittsandNevis,24.5
ElSalvador,24.45
Fiji,24.4
DemocraticRepublicoftheCongo,24
Vanuatu,23.95
Yemen,23.85
Mozambique,23.8
SãoToméandPríncipe,23.75
India,23.65
Paraguay,23.55
Honduras,23.5
Guatemala,23.45
CapeVerde,23.3
Laos,22.8
Uganda,22.8
Madagascar,22.65
Algeria,22.5
Mauritius,22.4
Dominica,22.35
Tanzania,22.35
Ethiopia,22.2
Egypt,22.1
Malawi,21.9
Ecuador,21.85
Libya,21.8
Australia,21.65
Angola,21.55
Bolivia,21.55
Botswana,21.5
Iraq,21.4
Eswatini,21.4
Zambia,21.4
Mexico,21
Zimbabwe,21
Pakistan,20.2
Namibia,19.95
Burundi,19.8
Peru,19.6
Israel,19.2
Malta,19.2
Tunisia,19.2
Cyprus,18.45
Jordan,18.3
Rwanda,17.85
SouthAfrica,17.75
Syria,17.75
Uruguay,17.55
Iran,17.25
Morocco,17.1
Lebanon,16.4
Greece,15.4
Portugal,15.15
Turkmenistan,15.1
Argentina,14.8
Monaco,13.55
Italy,13.45
Spain,13.3
Myanmar,13.05
Afghanistan,12.6
Uzbekistan,12.05
Azerbaijan,11.95
Lesotho,11.85
SanMarino,11.85
SouthKorea,11.5
Albania,11.4
Japan,11.15
Turkey,11.1
Croatia,10.9
France,10.7
Montenegro,10.55
Bulgaria,10.55
NewZealand,10.55
Serbia,10.55
BosniaandHerzegovina,9.85
NorthMacedonia,9.8
Hungary,9.75
Belgium,9.55
Moldova,9.45
Ireland,9.3
Netherlands,9.25
Slovenia,8.9
Romania,8.8
Luxembourg,8.65
UnitedStates,8.55
Germany,8.5
Chile,8.45
UnitedKingdom,8.45
Ukraine,8.3
Nepal,8.1
Poland,7.85
Andorra,7.6
CzechRepublic,7.55
Denmark,7.5
Bhutan,7.4
Armenia,7.15
China,6.95
Slovakia,6.8
Kazakhstan,6.4
Austria,6.35
Belarus,6.15
Lithuania,6.2
Georgia,5.8
NorthKorea,5.7
Liechtenstein,5.65
Latvia,5.6
Switzerland,5.5
Estonia,5.1
Sweden,2.1
Tajikistan,2
Iceland,1.75
Finland,1.7
Kyrgyzstan,1.55
Norway,1.5
Mongolia,-0.7
Russia,-5.1
Canada,-5.35
